game_id,team_id,opponent,points_scored,fast_break_points_for,fast_break_points_against,turnover_points_for,turnover_points_against,second_chance_points_for,second_chance_points_against,defensive_rebounds_for,defensive_rebounds_against,offensive_rebounds_for,offensive_rebounds_against,turnovers_for,turnovers_against,steals_for,steals_against,assists_for,assists_against,3P%_for,3P%_against,2P%_for,2P%_against,FT%_for,PFR_for,PFD_against,3PR_for,3PR_against,FTR_for,FTR_against,PACE,ORtg,DRtg,eFG%,TS%
E2016_009_a,BAM,UNK,66,2,5,7,4,2,10,28,26,7,7,11,9,5,5,17,16,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_009_b,UNK,BAM,63,2,4,11,13,14,15,27,22,12,12,15,11,3,10,17,20,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_010_a,DAR,MIL,73,13,4,18,11,10,15,23,24,6,9,11,16,9,4,12,17,34.285714285714285,47.36842105263158,56.66666666666666,51.21951219512195,76.92307692307692,26.455026455026456,23.80952380952381,53.84615384615385,31.666666666666668,20.0,28.33333333333333,75.6,105.82010582010582,107.14285714285715,53.84615384615385,56.56108597285068
E2016_010_b,MIL,DAR,99,6,4,14,10,22,16,21,22,13,11,9,12,6,3,29,15,47.36842105263158,34.285714285714285,51.21951219512195,56.66666666666666,70.58823529411765,25.132275132275133,26.455026455026456,31.666666666666668,53.84615384615385,28.33333333333333,20.0,75.6,107.14285714285715,105.82010582010582,57.5,60.01778304682869
E2016_011_a,TEL,MAD,97,4,6,10,14,16,22,22,21,11,13,12,9,3,6,15,29,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_011_b,MAD,TEL,83,0,0,5,7,13,11,29,25,10,10,10,12,6,4,16,15,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_012_a,OLY,IST,65,0,0,7,5,11,13,25,29,10,10,12,10,4,6,15,16,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_012_b,IST,OLY,84,6,3,26,11,19,15,14,26,13,14,11,20,9,3,15,16,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_013_a,CSK,PAN,109,8,6,12,8,7,8,31,18,6,7,15,10,4,9,25,19,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_013_b,PAN,CSK,84,6,12,16,6,10,20,21,26,12,18,10,15,5,5,13,9,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_014_a,BAR,ULK,69,4,2,13,11,15,14,22,27,12,12,11,15,10,3,20,17,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_014_b,ULK,BAR,67,5,2,4,7,10,2,26,28,7,7,9,11,5,5,16,17,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_015_a,GAL,RED,84,6,8,8,12,8,7,18,31,7,6,10,15,9,4,19,25,26.923076923076923,53.333333333333336,59.45945945945946,50.0,78.26086956521739,30.36996134732192,31.750414135836557,41.26984126984127,28.30188679245283,36.507936507936506,54.71698113207548,72.44,114.57758144671452,117.3384870237438,51.58730158730159,56.75601750547045
E2016_015_b,RED,GAL,70,4,13,11,18,15,10,24,23,9,6,16,11,4,9,17,12,53.333333333333336,26.923076923076923,50.0,59.45945945945946,79.3103448275862,31.750414135836557,30.36996134732192,28.30188679245283,41.26984126984127,54.71698113207548,36.507936507936506,72.44,117.3384870237438,114.57758144671452,58.490566037735846,64.62895377128953
E2016_016_a,ZAL,BAS,76,12,6,6,16,20,10,26,21,18,12,15,10,5,5,9,13,29.166666666666668,25.0,47.61904761904762,57.57575757575758,77.27272727272727,31.25,32.67045454545454,36.36363636363637,42.10526315789474,33.333333333333336,40.35087719298246,70.4,110.79545454545452,103.6931818181818,46.21212121212121,51.53276955602536
E2016_016_b,BAS,ZAL,85,3,6,11,26,15,19,26,14,14,13,20,11,3,9,16,15,25.0,29.166666666666668,57.57575757575758,47.61904761904762,73.91304347826087,32.67045454545454,29.829545454545453,42.10526315789474,36.36363636363637,40.35087719298246,33.333333333333336,70.4,103.6931818181818,110.79545454545452,49.12280701754386,54.38021454112038
E2016_017_a,IST,CSK,66,0,23,5,15,17,4,25,34,17,4,11,11,2,7,11,18,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_017_b,CSK,IST,81,0,4,9,10,9,9,26,22,7,12,11,10,2,4,18,18,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_018_a,OLY,MIL,90,23,0,15,5,4,17,34,25,4,17,11,11,7,2,18,11,30.0,29.41176470588235,55.26315789473684,55.81395348837209,78.57142857142857,27.67527675276753,31.62888771744861,44.11764705882353,28.33333333333333,41.1764705882353,43.333333333333336,75.88,119.92619926199262,106.74749604638905,50.73529411764706,56.648406374502
E2016_018_b,MIL,OLY,81,4,2,16,30,14,7,29,19,13,7,19,14,8,11,18,16,29.41176470588235,30.0,55.81395348837209,55.26315789473684,69.23076923076923,31.62888771744861,27.67527675276753,28.33333333333333,44.11764705882353,43.333333333333336,41.1764705882353,75.88,106.74749604638905,119.92619926199262,52.5,56.69092945128779
E2016_019_a,MAD,BAS,89,11,7,14,13,15,9,24,25,13,10,9,12,8,5,20,17,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_019_b,BAS,MAD,73,17,11,7,15,11,10,24,26,8,18,13,11,7,6,16,18,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_020_a,UNK,DAR,86,0,1,13,10,20,12,20,19,17,7,7,9,4,2,14,21,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_020_b,DAR,UNK,80,2,4,30,16,7,14,19,29,7,13,14,19,11,8,16,18,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_021_a,BAM,PAN,89,1,0,10,13,12,20,19,20,7,17,9,7,2,4,21,14,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_021_b,PAN,BAM,77,4,0,10,9,9,9,22,26,12,7,10,11,4,2,18,18,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_022_a,RED,BAR,85,8,9,17,18,10,11,22,22,8,12,14,12,7,8,18,21,35.294117647058826,32.0,60.0,51.42857142857143,66.66666666666667,25.231286795626577,22.4278104850014,29.82456140350877,41.66666666666666,26.31578947368421,11.666666666666666,71.34,106.53209980375664,91.1129800953182,57.89473684210526,59.74842767295598
