game_id,score
E2016_009_a,89
E2016_009_b,86
E2016_010_a,80
E2016_010_b,81
E2016_011_a,82
E2016_011_b,89
E2016_012_a,90
E2016_012_b,66
E2016_013_a,81
E2016_013_b,77
E2016_014_a,72
E2016_014_b,73
E2016_015_a,83
E2016_015_b,85
E2016_016_a,78
E2016_016_b,73
E2016_017_a,87
E2016_017_b,93
E2016_018_a,91
E2016_018_b,81
E2016_019_a,87
E2016_019_b,91
E2016_020_a,87
E2016_020_b,94
E2016_021_a,83
E2016_021_b,84
E2016_022_a,76
E2016_022_b,65
E2016_023_a,82
E2016_023_b,68
E2016_024_a,98
E2016_024_b,92
E2016_025_a,98
E2016_025_b,80
E2016_026_a,79
E2016_026_b,84
E2016_027_a,90
E2016_027_b,101
E2016_028_a,90
E2016_028_b,95
E2016_029_a,78
E2016_029_b,74
E2016_030_a,87
E2016_030_b,103
E2016_031_a,70
E2016_031_b,59
E2016_032_a,74
E2016_032_b,87
E2016_033_a,73
E2016_033_b,81
E2016_034_a,69
E2016_034_b,79
E2016_035_a,75
E2016_035_b,81
E2016_036_a,90
E2016_036_b,81
E2016_037_a,91
E2016_037_b,83
E2016_038_a,106
E2016_038_b,102
E2016_039_a,63
E2016_039_b,70
E2016_040_a,80
E2016_040_b,83
E2016_041_a,72
E2016_041_b,70
E2016_042_a,105
E2016_042_b,92
E2016_043_a,92
E2016_043_b,86
E2016_044_a,83
E2016_044_b,75
E2016_045_a,65
E2016_045_b,62
E2016_046_a,91
E2016_046_b,90
E2016_047_a,89
E2016_047_b,87
E2016_048_a,86
E2016_048_b,52
E2016_049_a,104
E2016_049_b,99
E2016_050_a,78
E2016_050_b,79
E2016_051_a,88
E2016_051_b,76
E2016_052_a,87
E2016_052_b,77
E2016_053_a,91
E2016_053_b,83
E2016_054_a,59
E2016_054_b,52
E2016_055_a,87
E2016_055_b,84
E2016_056_a,87
E2016_056_b,75
E2016_057_a,83
E2016_057_b,70
E2016_058_a,88
E2016_058_b,80
E2016_059_a,81
E2016_059_b,74
E2016_060_a,73
E2016_060_b,74
E2016_061_a,95
E2016_061_b,86
E2016_062_a,63
E2016_062_b,102
E2016_063_a,85
E2016_063_b,81
E2016_064_a,77
E2016_064_b,79
E2016_065_a,100
E2016_065_b,79
E2016_066_a,70
E2016_066_b,79
E2016_067_a,73
E2016_067_b,80
E2016_068_a,89
E2016_068_b,75
E2016_069_a,86
E2016_069_b,72
E2016_070_a,112
E2016_070_b,84
E2016_071_a,78
E2016_071_b,64
E2016_072_a,86
E2016_072_b,80
E2016_073_a,88
E2016_073_b,90
E2016_074_a,78
E2016_074_b,77
E2016_075_a,77
E2016_075_b,86
E2016_076_a,79
E2016_076_b,88
E2016_077_a,71
E2016_077_b,77
E2016_078_a,72
E2016_078_b,57
E2016_079_a,69
E2016_079_b,62
E2016_080_a,100
E2016_080_b,79
E2016_081_a,64
E2016_081_b,79
E2016_082_a,87
E2016_082_b,72
E2016_083_a,70
E2016_083_b,85
E2016_084_a,85
E2016_084_b,58
E2016_085_a,96
E2016_085_b,91
E2016_086_a,72
E2016_086_b,68
E2016_087_a,73
E2016_087_b,52
E2016_088_a,88
E2016_088_b,59
E2016_089_a,91
E2016_089_b,83
E2016_090_a,83
E2016_090_b,58
E2016_091_a,81
E2016_091_b,68
E2016_092_a,91
E2016_092_b,92
E2016_093_a,75
E2016_093_b,88
E2016_094_a,92
E2016_094_b,76
E2016_095_a,83
E2016_095_b,80
E2016_096_a,81
E2016_096_b,70
E2016_097_a,71
E2016_097_b,84
E2016_098_a,73
E2016_098_b,65
E2016_099_a,95
E2016_099_b,72
E2016_100_a,73
E2016_100_b,60
E2016_101_a,72
E2016_101_b,86
E2016_102_a,64
E2016_102_b,71
E2016_103_a,65
E2016_103_b,62
E2016_104_a,76
E2016_104_b,80
E2016_105_a,82
E2016_105_b,68
E2016_106_a,82
E2016_106_b,70
E2016_107_a,76
E2016_107_b,86
E2016_108_a,80
E2016_108_b,88
E2016_109_a,79
E2016_109_b,95
E2016_110_a,86
E2016_110_b,84
E2016_111_a,89
E2016_111_b,75
E2016_112_a,69
E2016_112_b,68
E2016_113_a,78
E2016_113_b,80
E2016_114_a,78
E2016_114_b,67
E2016_115_a,70
E2016_115_b,78
E2016_116_a,101
E2016_116_b,88
E2016_117_a,71
E2016_117_b,62
E2016_118_a,81
E2016_118_b,77
E2016_119_a,75
E2016_119_b,90
E2016_120_a,83
E2016_120_b,81
E2016_121_a,84
E2016_121_b,73
E2016_122_a,85
E2016_122_b,65
E2016_123_a,102
E2016_123_b,70
E2016_124_a,93
E2016_124_b,92
E2016_125_a,86
E2016_125_b,79
E2016_126_a,77
E2016_126_b,69
E2016_127_a,95
E2016_127_b,85
E2016_128_a,61
E2016_128_b,77
E2016_129_a,75
E2016_129_b,73
E2016_130_a,98
E2016_130_b,89
E2016_131_a,67
E2016_131_b,69
E2016_132_a,63
E2016_132_b,58
E2016_133_a,101
E2016_133_b,64
E2016_134_a,87
E2016_134_b,79
E2016_135_a,92
E2016_135_b,81
E2016_136_a,80
E2016_136_b,75
E2016_137_a,89
E2016_137_b,78
E2016_138_a,84
E2016_138_b,63
E2016_139_a,67
E2016_139_b,71
E2016_140_a,85
E2016_140_b,64
E2016_141_a,71
E2016_141_b,64
E2016_142_a,92
E2016_142_b,87
E2016_143_a,92
E2016_143_b,62
E2016_144_a,59
E2016_144_b,74
E2016_145_a,102
E2016_145_b,63
E2016_146_a,69
E2016_146_b,87
E2016_147_a,71
E2016_147_b,65
E2016_148_a,81
E2016_148_b,86
E2016_149_a,93
E2016_149_b,81
E2016_150_a,89
E2016_150_b,91
E2016_151_a,99
E2016_151_b,83
E2016_152_a,79
E2016_152_b,74
E2016_153_a,72
E2016_153_b,66
